"Category","ผลผลิต"
"กรุงเทพมหานคร",0
"กาญจนบุรี",246940
"จันทบุรี",733364
"ฉะเชิงเทรา",2964262
"ชลบุรี",18122708
"ชัยนาท",65865
"ตราด",4587317
"นครนายก",36385
"นครปฐม",593872
"นนทบุรี",110417
"ปทุมธานี",104979
"ประจวบคีรีขันธ์",261985096
"ปราจีนบุรี",43055
"ระยอง",1149355
"ราชบุรี",7608954
"ลพบุรี",0
"สมุทรปราการ",6558
"สมุทรสงคราม",37259976
"สมุทรสาคร",536814
"สระบุรี",292402
"สระแก้ว",0
"สิงห์บุรี",0
"สุพรรณบุรี",19134
"อยุธยา",241194
"อ่างทอง",0
"เพชรบุรี",10334090
